acc,d2o,length,n_go_exp,cluster,n_dis_regions,total_dis_len
O43715,0,76,26,1157,1.0,23.0
O43747,0,822,32,267,1.0,23.0
O43776,0,548,13,502,1.0,13.0
O43791,0,374,56,767,2.0,28.0
O43806,1,158,0,1013,6.0,531.0
O60232,0,199,26,1006,2.0,46.0
O60239,0,455,11,635,1.0,187.0
O60260,0,465,441,620,3.0,75.0
O60356,0,82,35,1148,6.0,492.0
O60486,0,1568,4,61,1.0,18.0
O60493,0,162,40,1061,2.0,44.0
O60502,0,916,17,205,7.0,226.0
O60508,0,579,26,468,1.0,82.0
O60566,0,1050,78,156,1.0,23.0
O60568,1,738,60,324,2.0,29.0
O60701,0,494,16,580,1.0,30.0
O60706,0,1549,9,59,3.0,156.0
O60741,0,890,34,223,1.0,93.0
O60825,0,505,18,558,2.0,85.0
O60828,1,265,28,902,12.0,2450.0
O60829,1,102,18,1100,3.0,306.0
O60832,0,514,57,545,2.0,115.0
O60880,0,128,42,1102,1.0,26.0
O60885,0,1362,88,93,1.0,17.0
O60888,0,179,14,1037,2.0,26.0
O60927,0,126,25,1105,2.0,252.0
O60934,0,754,130,311,2.0,82.0
O75056,0,442,25,655,6.0,2046.0
O75112,0,727,11,334,2.0,254.0
O75151,0,1096,19,144,1.0,20.0
O75223,0,188,6,1027,2.0,25.0
O75324,0,88,4,1153,1.0,27.0
O75469,0,434,21,665,2.0,32.0
O75475,0,530,36,520,2.0,86.0
O75496,0,209,53,987,1.0,22.0
O75506,0,76,35,1158,3.0,44.0
O75533,0,1304,82,99,2.0,617.0
O75554,0,376,11,764,1.0,101.0
O75683,0,361,9,782,2.0,377.0
O75807,0,674,35,374,3.0,912.0
O75817,0,140,30,1085,1.0,28.0
O75928,0,621,115,421,1.0,14.0
O75936,0,387,11,746,1.0,11.0
O75962,0,3097,14,8,1.0,14.0
O75970,0,2070,417,28,1.0,13.0
O76070,0,127,5,1086,2.0,254.0
O76074,0,875,5,231,3.0,41.0
O94829,0,963,20,184,2.0,36.0
O94885,0,1247,21,113,1.0,169.0
O94907,0,266,49,901,1.0,11.0
O94925,0,669,16,378,4.0,218.0
O94986,0,1710,30,51,2.0,29.0
O95071,0,2799,72,13,1.0,10.0
O95147,0,198,3,1011,1.0,22.0
O95149,0,360,20,784,2.0,81.0
O95155,0,1302,11,100,3.0,53.0
O95197,0,1032,51,166,4.0,144.0
O95278,0,331,66,817,1.0,11.0
O95292,0,243,116,926,5.0,526.0
O95391,0,586,56,459,3.0,344.0
O95400,0,341,54,803,1.0,25.0
O95405,0,1425,30,81,1.0,58.0
O95429,0,457,107,630,1.0,20.0
O95433,0,338,27,809,2.0,70.0
O95470,0,568,46,481,2.0,63.0
O95630,0,424,88,684,2.0,41.0
O95644,0,943,31,194,6.0,1110.0
O95696,0,1058,27,152,1.0,18.0
O95714,0,4834,25,2,1.0,42.0
O95718,0,433,11,667,1.0,26.0
O95822,0,493,25,583,1.0,28.0
O95831,0,613,46,430,8.0,254.0
O95835,0,1130,71,134,2.0,221.0
O95843,0,209,2,988,2.0,46.0
O95997,1,202,11,1002,3.0,606.0
O96013,0,591,43,455,2.0,120.0
O96017,0,543,68,507,9.0,279.0
O96018,0,575,59,475,4.0,856.0
O96019,0,429,37,674,8.0,151.0
O96028,0,1365,18,91,2.0,486.0
P00439,0,452,3,638,1.0,20.0
P00441,1,154,157,928,4.0,52.0
P00488,0,732,31,331,2.0,74.0
P00492,0,218,50,970,4.0,67.0
P00519,1,1130,175,135,4.0,161.0
P00533,0,1210,728,110,8.0,3298.0
P00734,0,622,58,419,5.0,106.0
P00736,1,705,47,349,2.0,226.0
P00740,1,461,37,588,2.0,58.0
P00742,1,488,14,588,13.0,409.0
P00749,0,431,32,670,2.0,21.0
P01009,0,418,41,694,3.0,59.0
P01019,0,476,69,606,7.0,98.0
P01023,0,1474,85,74,2.0,57.0
P01034,0,146,37,1077,2.0,22.0
P01042,0,644,41,400,2.0,188.0
P01100,0,380,159,755,3.0,495.0
P01106,0,454,220,636,10.0,946.0
P01111,0,189,39,995,1.0,12.0
P01112,0,189,255,995,1.0,20.0
P01116,0,189,45,995,3.0,50.0
P01127,1,241,117,927,1.0,14.0
P01130,0,860,64,243,2.0,53.0
P01137,0,390,271,742,1.0,22.0
P01160,0,151,41,1071,4.0,272.0
P01215,0,116,20,1117,2.0,35.0
P01266,0,2768,8,14,10.0,200.0
P01730,1,458,60,629,2.0,62.0
P01732,0,235,17,942,2.0,110.0
P02489,0,173,155,1045,2.0,85.0
P02511,0,175,79,997,3.0,58.0
P02533,0,472,58,612,1.0,37.0
P02545,0,664,183,382,1.0,98.0
P02549,0,2419,19,22,1.0,20.0
P02647,1,267,118,900,4.0,343.0
P02649,0,317,253,830,10.0,273.0
P02655,0,101,31,1143,1.0,26.0
P02671,0,866,66,234,1.0,350.0
P02686,1,304,18,849,10.0,629.0
P02730,0,911,34,209,1.0,54.0
P02760,0,352,48,791,3.0,49.0
P02774,0,474,6,609,2.0,40.0
P02788,0,710,63,345,3.0,66.0
P02808,0,62,24,1164,1.0,43.0
P03372,1,595,222,450,5.0,420.0
P03956,0,469,11,614,2.0,24.0
P04004,1,478,71,603,3.0,225.0
P04035,0,888,15,224,1.0,28.0
P04049,0,648,250,299,2.0,37.0
P04083,1,346,79,799,4.0,176.0
P04150,0,777,88,293,4.0,954.0
P04156,1,253,68,914,1.0,102.0
P04183,0,234,14,944,3.0,69.0
P04198,0,464,30,621,1.0,33.0
P04234,0,171,9,1033,3.0,108.0
P04271,0,92,96,1144,2.0,23.0
P04275,0,2813,45,12,1.0,16.0
P04554,1,102,7,1140,1.0,57.0
P04626,0,1255,269,110,4.0,1072.0
P04637,1,393,856,408,16.0,929.0
P04792,0,205,271,997,1.0,28.0
P04818,0,313,20,838,4.0,86.0
P04908,0,130,31,1099,2.0,60.0
P05019,0,195,109,1019,1.0,21.0
P05067,1,770,964,297,4.0,135.0
P05106,0,788,140,281,2.0,74.0
P05107,1,769,96,281,1.0,35.0
P05114,0,100,3,1146,3.0,300.0
P05121,0,402,68,728,2.0,26.0
P05231,0,212,118,980,2.0,38.0
P05386,0,114,14,1120,1.0,52.0
P05387,0,115,8,1120,2.0,67.0
P05451,0,166,5,1043,3.0,36.0
P05452,0,202,15,1003,1.0,25.0
P05455,0,408,28,719,2.0,166.0
P05546,0,499,4,571,2.0,83.0
P05556,1,798,184,281,1.0,47.0
P06132,0,367,24,773,1.0,10.0
P06239,0,509,139,514,2.0,36.0
P06400,1,928,193,200,12.0,510.0
P06401,1,933,31,197,10.0,4161.0
P06454,1,111,18,1125,8.0,888.0
P06702,0,114,45,1121,1.0,28.0
P06730,0,217,151,972,3.0,89.0
P06734,0,321,20,826,3.0,54.0
P06748,0,294,162,866,3.0,207.0
P06756,0,1048,111,159,1.0,30.0
P06899,0,126,29,1106,1.0,38.0
P07196,0,543,134,206,2.0,48.0
P07197,0,916,17,206,3.0,381.0
P07199,0,599,9,443,1.0,17.0
P07237,0,508,101,554,3.0,52.0
P07305,0,194,27,1021,4.0,238.0
P07355,1,339,98,799,1.0,32.0
P07550,0,413,97,710,3.0,216.0
P07766,0,207,43,992,4.0,149.0
P07814,0,1512,48,64,5.0,64.0
P07902,0,379,17,758,3.0,49.0
P07948,0,512,131,514,1.0,62.0
P08047,0,785,107,290,9.0,1071.0
P08235,0,984,9,178,6.0,1820.0
P08240,0,638,5,406,3.0,202.0
P08253,0,660,34,387,1.0,11.0
P08263,1,222,19,962,1.0,15.0
P08294,0,240,19,928,2.0,53.0
P08476,0,426,49,679,1.0,28.0
P08514,0,1039,26,162,2.0,63.0
P08572,1,1712,17,10,2.0,27.0
P08581,0,1390,99,86,1.0,20.0
P08621,0,437,54,662,5.0,651.0
P08631,0,526,110,514,1.0,78.0
P08670,0,466,188,206,3.0,138.0
P09012,0,282,94,879,3.0,128.0
P09038,0,288,96,872,1.0,18.0
P09132,0,144,14,1080,1.0,144.0
P09237,1,267,10,387,4.0,53.0
P09327,0,827,51,261,1.0,254.0
P09429,0,215,124,976,2.0,76.0
P09651,1,372,73,770,3.0,42.0
P09693,0,182,23,1033,3.0,111.0
P09919,0,207,8,993,1.0,10.0
P0CF51,1,173,1,1046,1.0,11.0
P0DJI8,0,122,10,1111,1.0,12.0
P0DMM9,0,295,28,864,2.0,60.0
P0DMV9,0,641,96,392,1.0,78.0
P0DN86,0,165,5,1055,3.0,101.0
P0DP23,0,149,75,1048,1.0,10.0
P10071,0,1580,74,60,1.0,131.0
P10163,0,310,0,843,2.0,588.0
P10275,1,920,196,203,14.0,5289.0
P10415,0,239,190,933,1.0,23.0
P10451,0,314,34,835,3.0,910.0
P10619,0,480,11,599,1.0,40.0
P10636,0,758,209,306,8.0,3439.0
P10721,0,976,100,180,1.0,22.0
P10912,0,638,62,407,4.0,722.0
P10997,1,89,33,1152,4.0,104.0
P11021,0,654,158,392,2.0,45.0
P11166,0,492,84,584,2.0,74.0
P11171,0,864,30,237,2.0,130.0
P11233,0,206,53,995,2.0,27.0
P11274,0,1271,49,106,2.0,31.0
P11309,0,313,56,839,1.0,18.0
P11387,0,765,60,300,6.0,602.0
P11473,0,427,83,665,1.0,51.0
P11686,0,197,48,1014,2.0,63.0
P11912,0,226,171,958,1.0,61.0
P11926,0,461,14,625,3.0,98.0
P11940,1,636,135,409,3.0,42.0
P12081,0,509,7,553,2.0,64.0
P12272,0,177,15,1039,2.0,91.0
P12931,0,536,282,514,1.0,84.0
P12956,0,609,127,432,1.0,77.0
P13010,0,732,114,332,1.0,20.0
P13051,0,313,39,840,1.0,92.0
P13569,0,1480,439,72,3.0,433.0
P13647,0,590,39,458,5.0,588.0
P13674,0,534,7,516,2.0,20.0
P13693,0,172,31,1047,3.0,84.0
P13797,0,630,2,413,1.0,20.0
P13861,0,404,57,723,1.0,47.0
P14061,0,328,13,818,2.0,86.0
P14598,1,390,63,743,4.0,115.0
P14635,0,433,68,668,2.0,156.0
P14653,0,301,8,855,1.0,20.0
P14678,0,240,151,929,5.0,408.0
P14859,0,743,46,318,3.0,425.0
P14867,0,456,23,607,1.0,60.0
P14868,0,501,16,567,4.0,64.0
P14921,0,441,62,656,1.0,43.0
P15056,0,766,182,299,8.0,110.0
P15309,1,386,32,748,1.0,39.0
P15311,0,586,141,460,5.0,756.0
P15374,0,230,21,949,1.0,20.0
P15382,0,129,57,1101,3.0,65.0
P15391,0,556,21,495,1.0,15.0
P15498,0,845,26,253,2.0,32.0
P15516,1,51,36,1167,4.0,112.0
P15848,0,533,6,517,1.0,17.0
P15927,0,270,96,893,2.0,138.0
P15941,0,1255,123,111,1.0,15.0
P16035,0,220,15,965,1.0,12.0
P16050,0,662,30,386,1.0,141.0
P16070,0,742,49,319,2.0,100.0
P16220,1,327,63,819,1.0,60.0
P16278,0,677,25,370,2.0,44.0
P16333,0,377,206,762,1.0,50.0
P16442,0,354,10,789,1.0,16.0
P16471,0,622,14,420,4.0,1250.0
P16860,0,134,28,1095,3.0,231.0
P17096,1,107,56,1131,2.0,214.0
P17181,0,557,33,492,2.0,117.0
P17405,0,631,74,411,2.0,55.0
P17480,0,764,34,302,1.0,14.0
P17677,0,238,9,935,4.0,952.0
P17706,0,415,44,704,2.0,170.0
P17931,0,250,88,918,3.0,308.0
P17947,0,270,57,894,4.0,277.0
P18065,0,325,10,823,1.0,14.0
P18075,0,431,55,671,1.0,35.0
P18206,1,1134,67,131,1.0,33.0
P18507,0,475,27,607,2.0,147.0
P18564,0,788,13,281,1.0,297.0
P18615,0,380,36,756,1.0,225.0
P18827,0,310,14,844,6.0,1392.0
P18848,0,351,182,793,1.0,275.0
P19429,0,210,47,985,4.0,115.0
P19525,0,551,96,498,6.0,170.0
P19634,1,815,65,274,6.0,546.0
P19793,0,462,143,623,4.0,291.0
P19827,0,911,10,210,2.0,30.0
P19957,0,117,3,1116,1.0,38.0
P20020,0,1220,40,118,1.0,196.0
P20061,0,433,5,669,2.0,36.0
P20340,0,208,60,990,1.0,32.0
P20591,0,662,37,341,2.0,51.0
P20592,0,715,11,341,2.0,115.0
P20807,0,821,53,270,3.0,156.0
P20810,0,708,12,347,4.0,564.0
P20823,0,631,42,412,1.0,20.0
P20849,0,921,13,202,1.0,18.0
P20963,0,164,49,1057,2.0,232.0
P21246,0,168,29,1053,4.0,81.0
P21333,0,2647,169,16,1.0,36.0
P21397,0,527,13,525,3.0,95.0
P21579,0,422,29,686,2.0,124.0
P21580,1,790,89,284,4.0,52.0
P21583,0,273,8,890,2.0,27.0
P21675,0,1893,85,39,2.0,95.0
P21815,0,317,8,831,2.0,377.0
P22033,0,750,36,313,2.0,39.0
P22059,1,807,39,207,1.0,34.0
P22234,0,425,42,682,2.0,33.0
P22531,0,72,8,1160,2.0,44.0
P22626,0,353,81,770,1.0,152.0
P23025,0,273,55,891,3.0,125.0
P23280,0,308,9,847,1.0,11.0
P23443,0,525,64,526,8.0,393.0
P23588,0,611,7,431,3.0,815.0
P23677,0,461,8,626,2.0,20.0
P23771,0,443,92,653,2.0,22.0
P24071,0,287,15,873,1.0,13.0
P24385,0,295,115,865,2.0,64.0
P24522,0,165,40,1056,4.0,60.0
P24588,0,427,41,676,2.0,256.0
P24864,0,410,45,715,1.0,14.0
P24928,0,1970,119,32,1.0,198.0
P25024,1,350,33,795,3.0,82.0
P25054,1,2843,191,11,7.0,2207.0
P25490,0,414,119,707,5.0,1475.0
P25963,0,317,154,832,2.0,108.0
P26196,0,483,185,594,1.0,13.0
P26368,0,475,146,608,1.0,28.0
P26447,0,101,50,1144,1.0,11.0
P26599,0,557,37,493,3.0,83.0
P27361,0,379,83,273,1.0,23.0
P27469,0,103,6,1136,3.0,309.0
P27635,0,214,26,977,1.0,29.0
P27694,0,616,81,427,2.0,136.0
P27695,0,318,86,828,4.0,129.0
P27708,0,2225,20,27,1.0,25.0
P27797,0,417,144,698,7.0,1702.0
P27986,0,724,266,336,2.0,28.0
P28300,0,417,24,699,2.0,294.0
P28324,0,431,9,672,1.0,43.0
P28325,0,142,7,1077,2.0,21.0
P28360,0,303,17,851,1.0,172.0
P28472,0,473,36,610,1.0,102.0
P28482,0,360,138,273,2.0,30.0
P28698,0,734,10,330,1.0,13.0
P28749,0,1068,29,149,1.0,76.0
P28827,0,1452,34,77,1.0,154.0
P29083,1,439,22,660,1.0,16.0
P29274,0,412,35,711,6.0,720.0
P29317,0,976,71,181,1.0,17.0
P29353,0,583,105,464,3.0,75.0
P29372,1,298,9,861,2.0,22.0
P29375,0,1690,13,53,2.0,354.0
P29536,0,600,3,442,1.0,15.0
P29590,0,882,189,228,1.0,11.0
P30038,0,563,6,487,2.0,38.0
P30260,0,824,63,264,4.0,662.0
P30273,0,86,13,1154,1.0,21.0
P30281,0,292,87,865,2.0,60.0
P30291,0,646,19,398,1.0,20.0
P30307,1,473,30,611,1.0,18.0
P30518,0,371,19,771,3.0,87.0
P30519,0,316,63,833,2.0,45.0
P30531,0,599,9,444,2.0,68.0
P30542,0,326,11,711,1.0,26.0
P30566,0,484,10,592,2.0,22.0
P30793,0,250,58,919,2.0,58.0
P31153,1,395,47,736,2.0,24.0
P31321,0,381,85,754,2.0,36.0
P31327,1,1500,24,27,2.0,76.0
P31431,0,198,43,1012,7.0,838.0
P31749,0,480,320,598,1.0,31.0
P31751,0,481,48,598,6.0,140.0
P32004,0,1257,22,109,4.0,456.0
P33316,0,252,18,916,1.0,23.0
P33763,0,92,12,1144,1.0,15.0
P33897,0,745,63,316,4.0,172.0
P34741,0,201,50,1004,6.0,756.0
P35052,0,558,9,491,1.0,12.0
P35219,0,290,22,868,1.0,22.0
P35222,1,781,512,292,4.0,348.0
P35236,1,360,14,785,1.0,16.0
P35269,0,517,38,544,1.0,38.0
P35475,0,653,5,393,1.0,11.0
P35520,0,551,75,499,1.0,40.0
P35568,0,1242,63,114,1.0,43.0
P35611,0,737,28,325,3.0,924.0
P35612,0,726,20,325,3.0,954.0
P35637,1,526,96,454,4.0,822.0
P35638,0,169,183,1052,4.0,624.0
P35680,0,557,41,494,1.0,43.0
P35790,0,457,27,631,7.0,137.0
P35813,0,382,36,753,1.0,14.0
P35869,0,848,66,250,3.0,507.0
P35916,0,1363,47,92,3.0,37.0
P36578,0,427,41,677,4.0,132.0
P36776,0,959,35,187,2.0,172.0
P36871,0,562,12,488,1.0,12.0
P36888,0,993,14,177,2.0,32.0
P36894,1,532,53,518,1.0,17.0
P36952,0,375,3,765,1.0,12.0
P36955,0,418,19,695,1.0,15.0
P37173,1,567,166,483,4.0,43.0
P37231,1,505,144,560,16.0,804.0
P37268,0,417,20,700,1.0,13.0
P37837,0,337,11,810,1.0,10.0
P37840,1,140,334,1086,12.0,1355.0
P38398,0,1863,210,42,3.0,4650.0
P38919,0,411,122,713,4.0,82.0
P38936,1,164,246,1058,6.0,756.0
P39748,0,380,41,757,3.0,71.0
P39905,0,211,32,982,1.0,40.0
P40205,0,109,10,1130,2.0,218.0
P40259,0,229,12,952,1.0,49.0
P40337,0,213,193,978,7.0,1019.0
P40692,0,756,172,307,2.0,31.0
P40763,0,770,250,298,2.0,47.0
P40818,0,1118,49,139,2.0,39.0
P40855,0,299,160,857,4.0,529.0
P40939,0,763,29,303,1.0,11.0
P41208,0,172,56,1048,1.0,22.0
P41214,0,584,6,462,2.0,102.0
P41227,0,235,110,943,1.0,75.0
P41236,1,205,22,998,2.0,312.0
P41567,0,113,19,1123,1.0,28.0
P41743,0,596,89,449,2.0,35.0
P42166,0,694,7,356,1.0,60.0
P42224,1,750,162,249,2.0,41.0
P42226,1,847,28,252,3.0,53.0
P42345,0,2549,304,18,5.0,233.0
P42568,1,568,48,482,3.0,237.0
P42574,0,277,103,852,4.0,53.0
P42658,0,865,8,236,2.0,26.0
P42768,1,502,72,565,2.0,136.0
P42858,0,3142,1104,7,38.0,2190.0
P42898,0,656,21,389,1.0,11.0
P43026,0,501,27,568,1.0,15.0
P43034,0,410,43,716,1.0,10.0
P43250,0,576,32,472,3.0,71.0
P43351,0,418,32,696,1.0,23.0
P43403,0,619,48,424,2.0,62.0
P43629,0,444,11,650,1.0,84.0
P45379,0,298,52,862,3.0,103.0
P45973,0,191,154,1025,3.0,80.0
P45985,1,399,13,691,1.0,86.0
P46108,0,304,155,850,3.0,101.0
P46379,1,1132,220,133,2.0,711.0
P46527,1,198,158,1013,13.0,1209.0
P46531,0,2555,98,17,1.0,131.0
P46937,0,504,251,562,2.0,193.0
P47710,0,185,3,1028,1.0,185.0
P47813,0,144,16,1081,3.0,78.0
P47895,0,512,12,549,2.0,45.0
P47897,0,775,100,294,1.0,34.0
P47992,0,114,32,1122,4.0,101.0
P48443,0,463,46,623,5.0,630.0
P48539,0,62,10,1165,2.0,124.0
P48740,0,699,118,351,1.0,17.0
P48788,0,182,19,985,2.0,171.0
P49005,0,469,32,615,2.0,33.0
P49023,0,591,71,456,3.0,60.0
P49189,0,494,29,581,1.0,24.0
P49257,1,510,29,551,1.0,10.0
P49327,0,2511,35,20,3.0,51.0
P49354,0,379,43,759,2.0,66.0
P49366,0,369,46,772,3.0,56.0
P49419,0,539,49,512,2.0,35.0
P49427,0,236,22,938,2.0,69.0
P49736,1,904,86,214,4.0,230.0
P49748,0,655,16,390,1.0,33.0
P49753,0,483,9,595,2.0,22.0
P49757,0,651,23,395,1.0,11.0
P49758,0,472,9,576,1.0,18.0
P49765,1,207,27,994,2.0,69.0
P49768,0,467,168,617,2.0,194.0
P49789,0,147,32,1074,1.0,21.0
P49790,0,1475,38,73,2.0,679.0
P49802,0,495,16,576,4.0,112.0
P49815,0,1807,80,47,6.0,526.0
P49841,1,420,253,688,3.0,85.0
P49848,0,677,44,371,2.0,457.0
P49902,1,561,60,489,5.0,182.0
P49913,1,170,61,1050,1.0,37.0
P49915,0,693,6,358,1.0,10.0
P49918,0,316,15,834,6.0,1161.0
P50148,0,359,48,786,1.0,216.0
P50402,0,254,150,913,2.0,246.0
P50440,0,423,26,685,1.0,26.0
P50542,1,639,129,403,8.0,1971.0
P50553,0,236,31,939,1.0,236.0
P50579,0,478,11,604,2.0,123.0
P50616,0,345,43,801,4.0,590.0
P50750,1,372,163,70,4.0,82.0
P51397,0,102,3,1141,1.0,102.0
P51449,0,518,16,542,2.0,59.0
P51513,0,507,6,556,1.0,19.0
P51587,0,3418,126,6,1.0,237.0
P51608,1,486,77,590,8.0,532.0
P51617,0,712,68,343,2.0,31.0
P51671,0,97,26,1149,1.0,31.0
P51787,0,676,111,372,1.0,11.0
P51788,1,898,15,218,7.0,381.0
P51825,0,1210,10,122,1.0,23.0
P51946,0,323,72,824,4.0,92.0
P51965,0,193,30,1023,3.0,120.0
P52179,0,1685,14,54,2.0,192.0
P52272,1,730,37,333,1.0,30.0
P52298,0,156,66,1067,3.0,73.0
P52306,0,607,49,434,1.0,18.0
P52564,0,334,24,691,1.0,43.0
P52597,0,415,80,705,2.0,21.0
P52630,1,851,56,249,2.0,53.0
P52732,0,1056,17,153,7.0,112.0
P52799,0,333,55,814,4.0,103.0
P52848,0,882,9,229,2.0,35.0
P52926,0,109,75,1131,3.0,327.0
P52945,0,283,7,878,1.0,80.0
P52948,0,1817,57,46,5.0,1292.0
P53350,1,603,201,439,2.0,30.0
P53355,1,1430,53,80,2.0,50.0
P53420,0,1690,8,10,1.0,16.0
P53778,0,367,41,622,1.0,14.0
P53779,0,464,11,622,1.0,26.0
P53816,0,162,21,1062,1.0,18.0
P53999,0,127,24,1103,1.0,60.0
P54132,0,1417,119,83,5.0,74.0
P54252,0,361,148,783,7.0,989.0
P54274,0,439,219,661,2.0,43.0
P54368,0,228,6,953,2.0,40.0
P54577,0,528,34,523,1.0,22.0
P54578,0,494,23,582,1.0,11.0
P54687,0,386,8,749,1.0,21.0
P54725,0,363,96,778,3.0,147.0
P55011,0,1212,35,121,4.0,870.0
P55036,1,377,107,763,3.0,157.0
P55042,0,308,2,848,2.0,22.0
P55072,0,806,323,278,5.0,96.0
P55145,0,182,15,1034,1.0,21.0
P55197,1,1068,20,150,2.0,33.0
P55210,0,303,75,852,3.0,43.0
P55211,0,416,75,702,1.0,46.0
P55263,0,362,15,780,1.0,15.0
P55265,0,1226,52,117,1.0,95.0
P55285,0,790,2,285,1.0,16.0
P55735,0,322,59,825,2.0,26.0
P55789,0,205,17,999,1.0,13.0
P55957,1,195,64,1020,4.0,109.0
P56211,1,112,18,1124,8.0,525.0
P56524,0,1084,179,147,2.0,56.0
P56696,0,695,5,355,1.0,44.0
P56962,1,302,60,853,5.0,315.0
P58004,0,480,75,600,7.0,199.0
P58753,1,221,59,964,2.0,42.0
P60006,0,121,8,1112,1.0,65.0
P60484,0,403,180,727,4.0,270.0
P60604,0,165,22,938,1.0,15.0
P60709,0,375,164,766,1.0,46.0
P60880,1,206,37,996,2.0,118.0
P60896,0,70,31,1161,2.0,62.0
P61073,0,352,69,792,6.0,140.0
P61244,0,160,113,1063,4.0,161.0
P61328,0,243,25,924,1.0,34.0
P61587,0,244,10,925,1.0,19.0
P61925,0,76,15,1159,2.0,53.0
P61956,0,95,45,1145,1.0,14.0
P62318,0,126,88,1107,1.0,45.0
P62328,1,44,35,596,4.0,160.0
P62330,1,175,76,1042,3.0,69.0
P62495,0,437,40,663,5.0,106.0
P62805,0,103,153,1137,1.0,25.0
P62826,0,216,251,974,3.0,63.0
P62877,1,108,249,1133,2.0,46.0
P63000,0,192,226,925,3.0,39.0
P63027,1,116,60,1118,1.0,28.0
P63098,0,170,39,1051,2.0,26.0
P63104,0,245,567,923,1.0,12.0
P63165,0,101,196,1145,3.0,53.0
P63241,0,154,47,1068,1.0,14.0
P68363,0,451,19,641,1.0,32.0
P68431,0,136,109,1089,1.0,38.0
P78330,0,225,13,959,2.0,24.0
P78352,0,724,450,337,1.0,71.0
P78356,0,416,29,703,3.0,90.0
P78362,0,688,183,363,8.0,1444.0
P78504,0,1218,49,119,4.0,500.0
P78560,0,199,31,1007,1.0,42.0
P78563,1,741,55,320,3.0,49.0
P80192,0,1104,12,140,2.0,24.0
P80303,1,420,7,689,1.0,231.0
P80723,0,227,18,957,4.0,581.0
P81274,0,684,52,367,2.0,214.0
P81605,1,110,36,1127,3.0,84.0
P83110,0,453,27,601,1.0,11.0
P83731,0,157,21,1066,2.0,68.0
P83916,0,185,60,1025,5.0,125.0
P84022,0,425,278,618,2.0,22.0
P84243,0,136,49,1089,1.0,38.0
P98066,0,277,30,885,1.0,28.0
P98170,0,497,183,574,2.0,26.0
