acc,cluster
Q8IYB3,215
Q01968,216
Q00653,217
P51788,218
Q6V1X1,219
Q92973,220
Q14118,221
Q8IVH8,222
O60741,223
P04035,224
Q3SYG4,225
Q6ZT98,226
Q8NEB9,227
P29590,228
P52848,229
Q96GX5,230
O76074,231
Q8NER1,232
Q8NET8,232
Q9HBA0,232
Q9Y5S1,232
O00308,233
P02671,234
Q9BXJ9,235
P42658,236
P11171,237
Q05193,238
O15169,239
Q15276,240
Q92854,241
Q13415,242
P01130,243
Q8N5H7,244
Q9UKV8,245
Q9UL18,245
Q96T21,246
Q9NRI5,247
Q96RS0,248
P42224,249
P52630,249
P35869,250
Q9NZ94,251
P42226,252
P15498,253
Q6GQQ9,254
Q86TV6,255
Q5FWF5,256
Q7Z3C6,257
Q9UBB9,258
Q8N1G2,259
Q99523,260
P09327,261
Q16665,262
Q01433,263
P30260,264
Q9UDY8,265
O43313,266
O43747,267
Q16620,268
Q9UJX6,269
P20807,270
Q9BUQ8,271
Q96ST2,272
P27361,273
P28482,273
Q13164,273
P19634,274
Q0JRZ9,275
Q9UJX5,276
Q9HCB6,277
P55072,278
Q9BYF1,279
Q15542,280
P05106,281
P05107,281
P05556,281
P18564,281
Q9UBK2,282
Q96T88,283
P21580,284
P55285,285
Q09161,286
Q7KZI7,287
Q99835,288
Q8IYB8,289
P08047,290
Q9H9E3,291
P35222,292
P04150,293
P47897,294
Q9Y4K0,295
Q86UE8,296
P05067,297
P40763,298
P04049,299
P15056,299
P11387,300
Q9H1D0,301
Q9NQA5,301
P17480,302
P40939,303
Q08050,304
Q13627,305
P10636,306
P40692,307
O43312,308
Q9BRZ2,309
Q9UJX4,310
O60934,311
A0A090N8E9,312
Q15910,312
Q92800,312
P22033,313
O14672,314
Q03518,315
P33897,316
Q13617,317
P14859,318
P16070,319
P78563,320
Q92499,321
Q9UER7,322
Q15022,323
O60568,324
P35611,325
P35612,325
O00429,326
O00522,327
Q9NQX3,328
Q15418,329
P28698,330
P00488,331
P13010,332
P52272,333
O75112,334
O00418,335
P27986,336
P78352,337
O00571,338
Q9NQI0,338
O00548,339
Q9NR61,339
Q96NI6,340
P20591,341
P20592,341
Q5SWA1,342
P51617,343
Q92945,344
Q96AE4,344
P02788,345
Q14444,346
P20810,347
Q9H078,348
P00736,349
O15234,350
P48740,351
Q14978,352
Q8NE35,353
Q9UBK8,354
P56696,355
P42166,356
Q13480,357
P49915,358
Q08188,359
Q9Y653,360
Q8NBP7,361
Q7L2J0,362
P78362,363
Q03519,364
Q13586,365
Q68D10,366
P81274,367
Q15582,368
Q86UX7,369
Q96AC1,369
P16278,370
P49848,371
P51787,372
Q9UQC2,373
O75807,374
Q9UBU7,375
Q13546,376
Q8N660,377
O94925,378
O15344,379
Q13613,380
Q96B97,381
P02545,382
Q96BT7,383
Q96EP1,384
Q9UM07,385
P16050,386
P08253,387
P09237,387
Q9NW15,388
P42898,389
P49748,390
Q12778,391
P0DMV9,392
P11021,392
P35475,393
Q96GC6,394
P49757,395
Q8WUG5,396
Q6P5W5,397
P30291,398
Q6PI48,399
P01042,400
Q02297,401
Q9UBT2,402
P50542,403
Q15637,404
Q9UJY5,405
P08240,406
P10912,407
O15350,408
P04637,408
P11940,409
Q06787,410
P17405,411
P20823,412
P13797,413
Q14258,414
Q96RF0,415
Q9H981,416
Q9UHD9,417
Q9Y5P4,418
P00734,419
P16471,420
O75928,421
O43663,422
Q13042,423
P43403,424
Q9NQB0,425
Q9UBU9,426
P27694,427
Q9UBP0,428
Q68DK7,429
O95831,430
P23588,431
P12956,432
Q9Y2M5,433
P52306,434
Q676U5,435
O14678,436
O43318,437
Q16236,438
P53350,439
Q15326,440
Q15642,441
P29536,442
P07199,443
P30531,444
Q5D1E8,445
Q14181,446
Q15046,447
Q9UJX2,448
P41743,449
P03372,450
Q92731,450
O00499,451
Q49AN0,452
Q8NFJ9,453
P35637,454
Q92804,454
O96013,455
P49023,456
Q9H900,457
P13647,458
O95391,459
P15311,460
Q9H4H8,461
P41214,462
Q8N807,463
P29353,464
Q13740,465
Q9UQ13,466
Q9GZU1,467
O60508,468
Q14995,469
Q96CV9,470
Q9NZI8,471
P43250,472
Q96PD5,473
Q9Y6I3,474
O96018,475
Q9BYC5,476
Q07866,477
Q14194,478
Q9BPU6,478
Q8IYW5,479
Q96AY2,480
O95470,481
P42568,482
P37173,483
Q9H6Z4,484
Q9UBW5,485
Q9UJX3,486
P30038,487
P36871,488
P49902,489
Q92558,490
P35052,491
P17181,492
P26599,493
P35680,494
P15391,495
Q9BZE9,496
Q13485,497
P19525,498
P35520,499
Q04206,500
Q16630,501
O43776,502
Q9BUR4,503
Q9H211,504
Q13153,505
Q13177,505
Q9UK59,506
O96017,507
Q6DD88,508
O43353,509
Q14449,510
Q92783,511
P49419,512
Q9Y2G2,513
P06239,514
P07948,514
P08631,514
P12931,514
Q13573,515
P13674,516
P15848,517
P36894,518
Q9H816,519
O75475,520
Q15517,521
Q3MIT2,522
P54577,523
Q9H3P2,524
P21397,525
P23443,526
Q96N21,527
Q9BZZ5,528
Q9Y6G9,529
O43172,530
Q16222,531
Q16625,532
Q8N884,533
Q9BPZ7,534
Q08209,535
Q8N465,536
Q8N5Y2,537
Q9BYI3,538
Q8IU57,539
Q9H0W8,540
Q96RK4,541
P51449,542
Q9Y572,543
P35269,544
O60832,545
O43474,546
Q13316,547
Q9NYB9,548
P47895,549
Q8IW19,550
P49257,551
Q01101,552
P12081,553
P07237,554
Q96F86,555
P51513,556
Q02078,557
O60825,558
A0A0C4DGY3,559
P37231,560
P98177,561
P46937,562
Q9UMS4,563
O43516,564
P42768,565
Q9NXG6,566
P14868,567
P43026,568
Q99958,569
Q16647,570
P05546,571
Q12834,572
Q13568,573
P98170,574
Q9UM11,575
P49758,576
P49802,576
Q9NRA2,577
Q9P2K3,578
Q9UKL0,578
Q9UHK0,579
O60701,580
P49189,581
P54578,582
O95822,583
P11166,584
Q00987,585
Q13043,586
Q13188,586
O15151,587
P00740,588
P00742,588
Q658P3,589
P51608,590
Q96RI1,591
P30566,592
Q9UMX1,593
P26196,594
P49753,595
P62328,596
Q13547,596
Q9BY41,596
Q9UN86,597
P31749,598
P31751,598
P10619,599
P58004,600
O43464,601
P83110,601
Q92743,601
Q9UMR2,602
P04004,603
P50579,604
Q6NUK1,605
P01019,606
P14867,607
P18507,607
P26368,608
P02774,609
P28472,610
P30307,611
P02533,612
Q15233,613
P03956,614
P49005,615
Q9UKX7,616
P49768,617
P84022,618
Q15796,618
Q15797,618
S6B291,619
O60260,620
P04198,621
P53778,622
P53779,622
P19793,623
P48443,623
Q9HD26,624
O14977,625
P11926,625
P23677,626
Q9Y5C1,627
Q16790,628
P01730,629
O95429,630
P35790,631
Q13451,632
Q9Y261,633
Q8WV28,634
O60239,635
P01106,636
O00189,637
P00439,638
Q9H8Y8,639
A4D126,640
P68363,641
Q969F2,642
Q02548,643
Q06710,643
Q14457,644
Q15113,645
Q9NP70,646
Q9UKT4,647
Q13137,648
Q14849,649
P43629,650
Q9BSQ5,651
Q9UK55,652
P23771,653
Q07666,654
O75056,655
P14921,656
Q9BZV1,657
Q13363,658
Q13501,659
P29083,660
P54274,661
P08621,662
P62495,663
Q01094,664
O75469,665
P11473,665
Q96Q11,666
O95718,667
P14635,668
P20061,669
P00749,670
P18075,671
P28324,672
Q7RTN6,673
O96019,674
Q13838,675
P24588,676
P36578,677
Q14653,678
P08476,679
Q6ZVN8,680
Q96RD7,681
P22234,682
Q16576,683
O95630,684
P50440,685
P21579,686
Q5SQI0,687
P49841,688
P80303,689
Q8NBZ7,690
O14733,691
P45985,691
P52564,691
Q14722,692
Q9Y6K9,693
P01009,694
P36955,695
P43351,696
Q8IVH4,697
P27797,698
P28300,699
P37268,700
Q86VY4,701
P55211,702
P78356,703
P17706,704
P52597,705
Q8N5F7,706
O15391,707
P25490,707
Q13148,708
Q8IW75,709
P07550,710
P29274,711
P30542,711
Q14318,712
P38919,713
Q9UBB5,714
P24864,715
P43034,716
Q13569,717
Q9H5I1,718
P05455,719
Q8NC51,720
Q16186,721
Q9BS26,722
P13861,723
Q15109,724
Q9GZZ9,725
O14965,726
Q96GD4,726
P60484,727
P05121,728
Q15583,729
Q8WVQ1,730
O14958,731
Q5TDH0,732
Q96G97,733
Q99986,734
O14775,735
P31153,736
Q00266,736
Q92597,737
Q9UQ80,738
Q9Y4P1,739
Q92784,740
Q92785,740
Q9H3M7,741
P01137,742
P14598,743
Q12905,744
Q96FI4,745
O75936,746
Q9UKT5,747
P15309,748
P54687,749
Q86VN1,750
Q9UBR1,751
Q29983,752
P35813,753
P31321,754
P01100,755
P18615,756
P39748,757
P07902,758
P49354,759
Q86WV6,760
Q16543,761
P16333,762
P55036,763
O75554,764
P36952,765
P60709,766
O43791,767
Q9NPI8,768
Q8WUP2,769
P09651,770
P22626,770
P30518,771
P49366,772
P06132,773
Q92847,774
O00204,775
Q9Y2Z0,776
Q53GG5,777
P54725,778
Q9NX46,779
P55263,780
Q13351,781
O75683,782
P54252,783
O95149,784
P35236,785
P50148,786
O14745,787
Q8N6T7,788
P16442,789
Q9H832,790
P02760,791
P61073,792
P18848,793
Q12972,794
P25024,795
Q07820,796
Q8IYV9,797
Q8NBI3,798
P04083,799
P07355,799
Q9UBE0,800
P50616,801
Q9NS23,802
O95400,803
Q8N3I7,804
Q96PU8,805
Q06609,806
Q14565,806
Q96IZ0,807
O14832,808
O95433,809
P37837,810
Q96C86,811
Q13426,812
Q92905,813
P52799,814
Q969S2,815
O00273,816
O95278,817
P14061,818
P16220,819
Q9UBV7,820
Q00534,821
Q15717,822
P18065,823
P51946,824
P55735,825
P06734,826
Q96C36,827
P27695,828
O00214,829
P02649,830
P21815,831
P25963,832
P30519,833
P49918,834
P10451,835
Q99453,836
Q9NT62,837
P04818,838
P11309,839
P13051,840
Q6FI81,841
Q9BV68,842
P10163,843
P18827,844
Q16831,845
Q9NRN7,846
P23280,847
P55042,848
P02686,849
P46108,850
P28360,851
P42574,852
P55210,852
P56962,853
Q8TDX7,854
P14653,855
A6NI73,856
P40855,857
Q99623,858
Q9H9Q4,859
Q9NP98,860
P29372,861
P45379,862
Q9H3L0,863
P0DMM9,864
P24385,865
P30281,865
P06748,866
Q9BYG3,867
P35219,868
Q01105,869
Q99598,870
Q6PHW0,871
P09038,872
P24071,873
Q96E09,874
Q9GZN7,875
Q53TN4,876
Q86XI6,877
P52945,878
P09012,879
Q8IUQ4,880
Q9NPF0,881
Q9Y4U1,882
Q92837,883
Q9HAN9,884
P98066,885
Q16740,886
Q15013,887
Q9H0E2,888
Q9NUM4,889
P21583,890
P23025,891
Q13162,892
P15927,893
P17947,894
Q00169,895
Q14493,896
Q99967,897
Q15691,898
Q9BTT0,899
P02647,900
O94907,901
O60828,902
Q9NV23,903
Q2MKA7,904
O43561,905
Q92871,906
Q96PM5,907
Q99714,908
Q9NVS9,909
Q96H20,910
Q9UMY1,911
O00584,912
P50402,913
P04156,914
O00299,915
O15247,915
Q9Y696,915
P33316,916
A6ND01,917
P17931,918
P30793,919
Q9UNL4,920
Q07955,921
Q8N1Q8,922
P63104,923
P61328,924
Q92913,924
P61587,925
P63000,925
O95292,926
P01127,927
P00441,928
P08294,928
P14678,929
Q01081,930
Q5T1C6,931
Q8N114,932
P10415,933
Q07817,933
Q9NR28,934
P17677,935
Q16629,936
Q92886,937
P49427,938
P60604,938
P50553,939
Q6BDI9,940
Q9BQ50,941
P01732,942
P41227,943
P04183,944
Q8WUN7,945
Q99801,946
Q9NXV2,947
Q96EQ8,948
P15374,949
Q9BU02,950
Q9NZC2,951
P40259,952
P54368,953
Q15631,954
Q8N488,955
Q9HB71,956
P80723,957
P11912,958
P78330,959
Q9UBT3,960
Q9BRT9,961
P08263,962
Q9Y3E7,963
P58753,964
P16035,965
Q5T4W7,966
Q68J44,967
Q9UII6,967
Q9UKK9,968
Q9Y296,969
P00492,970
Q12962,971
P06730,972
Q9NY12,973
P62826,974
Q9BRX5,975
P09429,976
P27635,977
P40337,978
Q9BQB4,979
P05231,980
Q16667,981
P39905,982
Q16611,983
Q9BQ15,984
P19429,985
P48788,985
Q16595,986
O75496,987
O95843,988
Q8TEA8,989
P20340,990
Q99075,991
P07766,992
P09919,993
P49765,994
P01111,995
P01112,995
P01116,995
P11233,995
P60880,996
P02511,997
P04792,997
P41236,998
P55789,999
Q9BUH6,1000
Q9HD36,1001
O95997,1002
P05452,1003
P34741,1004
O14713,1005
O60232,1006
P78560,1007
Q07108,1008
Q9BUL9,1009
O43521,1010
O95147,1011
P31431,1012
O43806,1013
P46527,1013
P11686,1014
Q53FT3,1015
Q9NPD8,1016
Q14691,1017
Q9UJY1,1018
P05019,1019
P55957,1020
P07305,1021
Q12983,1022
P51965,1023
Q07812,1024
P45973,1025
P83916,1025
O15431,1026
O75223,1027
P47710,1028
Q15382,1029
Q8IV16,1030
Q96RJ3,1031
Q9H875,1032
P04234,1033
P09693,1033
P55145,1034
O43665,1035
Q10589,1036
O60888,1037
Q8TAP9,1038
P12272,1039
Q9BRG1,1040
Q9UKY0,1041
P62330,1042
P05451,1043
Q06141,1043
Q9Y5S9,1044
O14558,1045
P02489,1045
P0CF51,1046
P13693,1047
P0DP23,1048
P41208,1048
Q14011,1049
P49913,1050
P63098,1051
P35638,1052
P21246,1053
O15273,1054
P0DN86,1055
P24522,1056
P20963,1057
P38936,1058
Q8TDP1,1059
Q13526,1060
O60493,1061
P53816,1062
Q9NWW9,1062
P61244,1063
Q15185,1064
Q9H9R9,1065
P83731,1066
P52298,1067
P63241,1068
Q9NX24,1069
Q9Y3D6,1070
P01160,1071
Q96B02,1072
Q6P3W2,1073
P49789,1074
Q96E14,1075
Q9BXW4,1076
P01034,1077
P28325,1077
Q8NI22,1078
Q8WXS3,1079
P09132,1080
P47813,1081
O15392,1082
Q14019,1083
Q8N4Q1,1084
O75817,1085
O76070,1086
P37840,1086
Q16143,1086
Q9NPJ4,1087
Q15726,1088
P68431,1089
P84243,1089
Q86WX3,1090
Q8N5K1,1091
O00488,1092
O00585,1093
O14810,1094
P16860,1095
Q02363,1096
Q8N726,1097
Q9Y237,1098
P04908,1099
Q71UI9,1099
O60829,1100
Q96GU1,1100
P15382,1101
O60880,1102
P53999,1103
Q9NRJ3,1104
O60927,1105
P06899,1106
P62318,1107
Q9Y3M2,1108
Q9Y3B4,1109
O14907,1110
P0DJI8,1111
P60006,1112
Q9NX55,1113
Q13541,1114
Q13542,1114
Q9BTL3,1115
P19957,1116
P01215,1117
P63027,1118
O14519,1119
P05386,1120
P05387,1120
P06702,1121
P47992,1122
P41567,1123
P56211,1124
P06454,1125
Q9UMZ1,1125
Q15004,1126
P81605,1127
Q96DE5,1128
Q9BSY4,1129
P40205,1130
P17096,1131
P52926,1131
A0A1B0GTR3,1132
P62877,1133
Q9NR00,1134
Q9NRY2,1135
P27469,1136
P62805,1137
Q96FQ6,1138
Q9Y6H6,1139
P04554,1140
P51397,1141
Q9NZD4,1142
P02655,1143
P04271,1144
P26447,1144
P33763,1144
P61956,1145
P63165,1145
P05114,1146
Q76LA1,1147
O60356,1148
A6NF83,1148
P51671,1149
Q9Y258,1150
A8MTZ0,1151
P10997,1152
O75324,1153
P30273,1154
Q8NHZ8,1155
Q15843,1156
O43715,1157
O75506,1158
P61925,1159
P22531,1160
P60896,1161
Q8N300,1162
Q14061,1163
P02808,1164
P48539,1165
Q8WXC6,1166
P15516,1167
